"editDistance","interaction","name","selected","shared interaction","shared name","treeDistance"
"3","edit distance","hVSMC-0372 to hVSMC-0400","false","edit distance","hVSMC-0372 to hVSMC-0400","34"
"9","edit distance","hVSMC-0340 to hVSMC-0400","false","edit distance","hVSMC-0340 to hVSMC-0400","36"
"7","edit distance","hVSMC-0340 to hVSMC-0372","false","edit distance","hVSMC-0340 to hVSMC-0372","16"
"2","edit distance","hVSMC-0332 to hVSMC-0400","false","edit distance","hVSMC-0332 to hVSMC-0400","30"
"3","edit distance","hVSMC-0332 to hVSMC-0372","false","edit distance","hVSMC-0332 to hVSMC-0372","26"
"7","edit distance","hVSMC-0332 to hVSMC-0340","false","edit distance","hVSMC-0332 to hVSMC-0340","30"
"8","edit distance","hVSMC-0328 to hVSMC-0400","false","edit distance","hVSMC-0328 to hVSMC-0400","32"
"6","edit distance","hVSMC-0328 to hVSMC-0372","false","edit distance","hVSMC-0328 to hVSMC-0372","4"
"3","edit distance","hVSMC-0328 to hVSMC-0340","false","edit distance","hVSMC-0328 to hVSMC-0340","16"
"6","edit distance","hVSMC-0328 to hVSMC-0332","false","edit distance","hVSMC-0328 to hVSMC-0332","26"
"6","edit distance","hVSMC-0327 to hVSMC-0400","false","edit distance","hVSMC-0327 to hVSMC-0400","38"
"7","edit distance","hVSMC-0327 to hVSMC-0372","false","edit distance","hVSMC-0327 to hVSMC-0372","14"
"3","edit distance","hVSMC-0327 to hVSMC-0340","false","edit distance","hVSMC-0327 to hVSMC-0340","14"
"7","edit distance","hVSMC-0327 to hVSMC-0332","false","edit distance","hVSMC-0327 to hVSMC-0332","28"
"2","edit distance","hVSMC-0327 to hVSMC-0328","false","edit distance","hVSMC-0327 to hVSMC-0328","14"
"7","edit distance","hVSMC-0317 to hVSMC-0400","false","edit distance","hVSMC-0317 to hVSMC-0400","38"
"6","edit distance","hVSMC-0317 to hVSMC-0372","false","edit distance","hVSMC-0317 to hVSMC-0372","10"
"3","edit distance","hVSMC-0317 to hVSMC-0340","false","edit distance","hVSMC-0317 to hVSMC-0340","12"
"6","edit distance","hVSMC-0317 to hVSMC-0332","false","edit distance","hVSMC-0317 to hVSMC-0332","28"
"2","edit distance","hVSMC-0317 to hVSMC-0328","false","edit distance","hVSMC-0317 to hVSMC-0328","12"
"2","edit distance","hVSMC-0317 to hVSMC-0327","false","edit distance","hVSMC-0317 to hVSMC-0327","12"
"8","edit distance","hVSMC-0312 to hVSMC-0400","false","edit distance","hVSMC-0312 to hVSMC-0400","36"
"7","edit distance","hVSMC-0312 to hVSMC-0372","false","edit distance","hVSMC-0312 to hVSMC-0372","10"
"3","edit distance","hVSMC-0312 to hVSMC-0340","false","edit distance","hVSMC-0312 to hVSMC-0340","10"
"6","edit distance","hVSMC-0312 to hVSMC-0332","false","edit distance","hVSMC-0312 to hVSMC-0332","28"
"2","edit distance","hVSMC-0312 to hVSMC-0328","false","edit distance","hVSMC-0312 to hVSMC-0328","12"
"2","edit distance","hVSMC-0312 to hVSMC-0327","false","edit distance","hVSMC-0312 to hVSMC-0327","12"
"2","edit distance","hVSMC-0312 to hVSMC-0317","false","edit distance","hVSMC-0312 to hVSMC-0317","2"
"2","edit distance","hVSMC-0296 to hVSMC-0400","false","edit distance","hVSMC-0296 to hVSMC-0400","20"
"3","edit distance","hVSMC-0296 to hVSMC-0372","false","edit distance","hVSMC-0296 to hVSMC-0372","26"
"8","edit distance","hVSMC-0296 to hVSMC-0340","false","edit distance","hVSMC-0296 to hVSMC-0340","24"
"2","edit distance","hVSMC-0296 to hVSMC-0332","false","edit distance","hVSMC-0296 to hVSMC-0332","28"
"7","edit distance","hVSMC-0296 to hVSMC-0328","false","edit distance","hVSMC-0296 to hVSMC-0328","28"
"7","edit distance","hVSMC-0296 to hVSMC-0327","false","edit distance","hVSMC-0296 to hVSMC-0327","26"
"6","edit distance","hVSMC-0296 to hVSMC-0317","false","edit distance","hVSMC-0296 to hVSMC-0317","26"
"7","edit distance","hVSMC-0296 to hVSMC-0312","false","edit distance","hVSMC-0296 to hVSMC-0312","24"
"9","edit distance","hVSMC-0295 to hVSMC-0400","false","edit distance","hVSMC-0295 to hVSMC-0400","36"
"7","edit distance","hVSMC-0295 to hVSMC-0372","false","edit distance","hVSMC-0295 to hVSMC-0372","16"
"2","edit distance","hVSMC-0295 to hVSMC-0340","false","edit distance","hVSMC-0295 to hVSMC-0340","0"
"7","edit distance","hVSMC-0295 to hVSMC-0332","false","edit distance","hVSMC-0295 to hVSMC-0332","30"
"3","edit distance","hVSMC-0295 to hVSMC-0328","false","edit distance","hVSMC-0295 to hVSMC-0328","16"
"3","edit distance","hVSMC-0295 to hVSMC-0327","false","edit distance","hVSMC-0295 to hVSMC-0327","14"
"3","edit distance","hVSMC-0295 to hVSMC-0317","false","edit distance","hVSMC-0295 to hVSMC-0317","12"
"3","edit distance","hVSMC-0295 to hVSMC-0312","false","edit distance","hVSMC-0295 to hVSMC-0312","10"
"8","edit distance","hVSMC-0295 to hVSMC-0296","false","edit distance","hVSMC-0295 to hVSMC-0296","24"
"4","edit distance","hVSMC-0294 to hVSMC-0400","false","edit distance","hVSMC-0294 to hVSMC-0400","36"
"3","edit distance","hVSMC-0294 to hVSMC-0372","false","edit distance","hVSMC-0294 to hVSMC-0372","14"
"8","edit distance","hVSMC-0294 to hVSMC-0340","false","edit distance","hVSMC-0294 to hVSMC-0340","14"
"4","edit distance","hVSMC-0294 to hVSMC-0332","false","edit distance","hVSMC-0294 to hVSMC-0332","24"
"7","edit distance","hVSMC-0294 to hVSMC-0328","false","edit distance","hVSMC-0294 to hVSMC-0328","14"
"7","edit distance","hVSMC-0294 to hVSMC-0327","false","edit distance","hVSMC-0294 to hVSMC-0327","16"
"6","edit distance","hVSMC-0294 to hVSMC-0317","false","edit distance","hVSMC-0294 to hVSMC-0317","8"
"7","edit distance","hVSMC-0294 to hVSMC-0312","false","edit distance","hVSMC-0294 to hVSMC-0312","8"
"4","edit distance","hVSMC-0294 to hVSMC-0296","false","edit distance","hVSMC-0294 to hVSMC-0296","22"
"8","edit distance","hVSMC-0294 to hVSMC-0295","false","edit distance","hVSMC-0294 to hVSMC-0295","14"
"8","edit distance","hVSMC-0292 to hVSMC-0400","false","edit distance","hVSMC-0292 to hVSMC-0400","38"
"7","edit distance","hVSMC-0292 to hVSMC-0372","false","edit distance","hVSMC-0292 to hVSMC-0372","12"
"3","edit distance","hVSMC-0292 to hVSMC-0340","false","edit distance","hVSMC-0292 to hVSMC-0340","12"
"7","edit distance","hVSMC-0292 to hVSMC-0332","false","edit distance","hVSMC-0292 to hVSMC-0332","30"
"2","edit distance","hVSMC-0292 to hVSMC-0328","false","edit distance","hVSMC-0292 to hVSMC-0328","16"
"2","edit distance","hVSMC-0292 to hVSMC-0327","false","edit distance","hVSMC-0292 to hVSMC-0327","12"
"2","edit distance","hVSMC-0292 to hVSMC-0317","false","edit distance","hVSMC-0292 to hVSMC-0317","6"
"2","edit distance","hVSMC-0292 to hVSMC-0312","false","edit distance","hVSMC-0292 to hVSMC-0312","4"
"7","edit distance","hVSMC-0292 to hVSMC-0296","false","edit distance","hVSMC-0292 to hVSMC-0296","26"
"2","edit distance","hVSMC-0292 to hVSMC-0295","false","edit distance","hVSMC-0292 to hVSMC-0295","12"
"7","edit distance","hVSMC-0292 to hVSMC-0294","false","edit distance","hVSMC-0292 to hVSMC-0294","12"
"3","edit distance","hVSMC-0282 to hVSMC-0400","false","edit distance","hVSMC-0282 to hVSMC-0400","38"
"2","edit distance","hVSMC-0282 to hVSMC-0372","false","edit distance","hVSMC-0282 to hVSMC-0372","8"
"7","edit distance","hVSMC-0282 to hVSMC-0340","false","edit distance","hVSMC-0282 to hVSMC-0340","12"
"3","edit distance","hVSMC-0282 to hVSMC-0332","false","edit distance","hVSMC-0282 to hVSMC-0332","30"
"5","edit distance","hVSMC-0282 to hVSMC-0328","false","edit distance","hVSMC-0282 to hVSMC-0328","8"
"6","edit distance","hVSMC-0282 to hVSMC-0327","false","edit distance","hVSMC-0282 to hVSMC-0327","12"
"5","edit distance","hVSMC-0282 to hVSMC-0317","false","edit distance","hVSMC-0282 to hVSMC-0317","4"
"6","edit distance","hVSMC-0282 to hVSMC-0312","false","edit distance","hVSMC-0282 to hVSMC-0312","6"
"3","edit distance","hVSMC-0282 to hVSMC-0296","false","edit distance","hVSMC-0282 to hVSMC-0296","28"
"7","edit distance","hVSMC-0282 to hVSMC-0295","false","edit distance","hVSMC-0282 to hVSMC-0295","12"
"3","edit distance","hVSMC-0282 to hVSMC-0294","false","edit distance","hVSMC-0282 to hVSMC-0294","10"
"6","edit distance","hVSMC-0282 to hVSMC-0292","false","edit distance","hVSMC-0282 to hVSMC-0292","10"
"4","edit distance","hVSMC-0275 to hVSMC-0400","false","edit distance","hVSMC-0275 to hVSMC-0400","32"
"3","edit distance","hVSMC-0275 to hVSMC-0372","false","edit distance","hVSMC-0275 to hVSMC-0372","14"
"9","edit distance","hVSMC-0275 to hVSMC-0340","false","edit distance","hVSMC-0275 to hVSMC-0340","8"
"4","edit distance","hVSMC-0275 to hVSMC-0332","false","edit distance","hVSMC-0275 to hVSMC-0332","24"
"8","edit distance","hVSMC-0275 to hVSMC-0328","false","edit distance","hVSMC-0275 to hVSMC-0328","14"
"8","edit distance","hVSMC-0275 to hVSMC-0327","false","edit distance","hVSMC-0275 to hVSMC-0327","14"
"7","edit distance","hVSMC-0275 to hVSMC-0317","false","edit distance","hVSMC-0275 to hVSMC-0317","12"
"8","edit distance","hVSMC-0275 to hVSMC-0312","false","edit distance","hVSMC-0275 to hVSMC-0312","10"
"4","edit distance","hVSMC-0275 to hVSMC-0296","false","edit distance","hVSMC-0275 to hVSMC-0296","22"
"8","edit distance","hVSMC-0275 to hVSMC-0295","false","edit distance","hVSMC-0275 to hVSMC-0295","8"
"4","edit distance","hVSMC-0275 to hVSMC-0294","false","edit distance","hVSMC-0275 to hVSMC-0294","8"
"6","edit distance","hVSMC-0275 to hVSMC-0292","false","edit distance","hVSMC-0275 to hVSMC-0292","12"
"3","edit distance","hVSMC-0275 to hVSMC-0282","false","edit distance","hVSMC-0275 to hVSMC-0282","12"
"8","edit distance","hVSMC-0272 to hVSMC-0400","false","edit distance","hVSMC-0272 to hVSMC-0400","20"
"6","edit distance","hVSMC-0272 to hVSMC-0372","false","edit distance","hVSMC-0272 to hVSMC-0372","36"
"3","edit distance","hVSMC-0272 to hVSMC-0340","false","edit distance","hVSMC-0272 to hVSMC-0340","36"
"6","edit distance","hVSMC-0272 to hVSMC-0332","false","edit distance","hVSMC-0272 to hVSMC-0332","32"
"2","edit distance","hVSMC-0272 to hVSMC-0328","false","edit distance","hVSMC-0272 to hVSMC-0328","36"
"2","edit distance","hVSMC-0272 to hVSMC-0327","false","edit distance","hVSMC-0272 to hVSMC-0327","36"
"2","edit distance","hVSMC-0272 to hVSMC-0317","false","edit distance","hVSMC-0272 to hVSMC-0317","40"
"2","edit distance","hVSMC-0272 to hVSMC-0312","false","edit distance","hVSMC-0272 to hVSMC-0312","40"
"7","edit distance","hVSMC-0272 to hVSMC-0296","false","edit distance","hVSMC-0272 to hVSMC-0296","28"
"3","edit distance","hVSMC-0272 to hVSMC-0295","false","edit distance","hVSMC-0272 to hVSMC-0295","36"
"7","edit distance","hVSMC-0272 to hVSMC-0294","false","edit distance","hVSMC-0272 to hVSMC-0294","38"
"2","edit distance","hVSMC-0272 to hVSMC-0292","false","edit distance","hVSMC-0272 to hVSMC-0292","44"
"5","edit distance","hVSMC-0272 to hVSMC-0282","false","edit distance","hVSMC-0272 to hVSMC-0282","40"
"8","edit distance","hVSMC-0272 to hVSMC-0275","false","edit distance","hVSMC-0272 to hVSMC-0275","40"
"8","edit distance","hVSMC-0270 to hVSMC-0400","false","edit distance","hVSMC-0270 to hVSMC-0400","36"
"7","edit distance","hVSMC-0270 to hVSMC-0372","false","edit distance","hVSMC-0270 to hVSMC-0372","12"
"3","edit distance","hVSMC-0270 to hVSMC-0340","false","edit distance","hVSMC-0270 to hVSMC-0340","10"
"7","edit distance","hVSMC-0270 to hVSMC-0332","false","edit distance","hVSMC-0270 to hVSMC-0332","28"
"2","edit distance","hVSMC-0270 to hVSMC-0328","false","edit distance","hVSMC-0270 to hVSMC-0328","12"
