source,target,editDistance
hVSMC-1303,hVSMC-1995,17
hVSMC-1100,hVSMC-1995,6
hVSMC-1100,hVSMC-1303,17
hVSMC-0970,hVSMC-1995,17
hVSMC-0970,hVSMC-1303,10
hVSMC-0970,hVSMC-1100,18
hVSMC-0946,hVSMC-1995,14
hVSMC-0946,hVSMC-1303,10
hVSMC-0946,hVSMC-1100,14
hVSMC-0946,hVSMC-0970,7
hVSMC-0773,hVSMC-1995,13
hVSMC-0773,hVSMC-1303,12
hVSMC-0773,hVSMC-1100,15
hVSMC-0773,hVSMC-0970,12
hVSMC-0773,hVSMC-0946,11
hVSMC-0725,hVSMC-1995,14
hVSMC-0725,hVSMC-1303,8
hVSMC-0725,hVSMC-1100,17
hVSMC-0725,hVSMC-0970,10
hVSMC-0725,hVSMC-0946,9
hVSMC-0725,hVSMC-0773,13
hVSMC-0668,hVSMC-1995,14
hVSMC-0668,hVSMC-1303,13
hVSMC-0668,hVSMC-1100,13
hVSMC-0668,hVSMC-0970,17
hVSMC-0668,hVSMC-0946,15
hVSMC-0668,hVSMC-0773,14
hVSMC-0668,hVSMC-0725,12
hVSMC-0400,hVSMC-1995,15
hVSMC-0400,hVSMC-1303,13
hVSMC-0400,hVSMC-1100,14
hVSMC-0400,hVSMC-0970,15
hVSMC-0400,hVSMC-0946,15
hVSMC-0400,hVSMC-0773,13
hVSMC-0400,hVSMC-0725,13
hVSMC-0400,hVSMC-0668,4
hVSMC-0383,hVSMC-1995,16
hVSMC-0383,hVSMC-1303,13
hVSMC-0383,hVSMC-1100,15
hVSMC-0383,hVSMC-0970,13
hVSMC-0383,hVSMC-0946,15
hVSMC-0383,hVSMC-0773,13
hVSMC-0383,hVSMC-0725,13
hVSMC-0383,hVSMC-0668,8
hVSMC-0383,hVSMC-0400,8
hVSMC-0372,hVSMC-1995,13
hVSMC-0372,hVSMC-1303,13
hVSMC-0372,hVSMC-1100,12
hVSMC-0372,hVSMC-0970,16
hVSMC-0372,hVSMC-0946,15
hVSMC-0372,hVSMC-0773,13
hVSMC-0372,hVSMC-0725,12
hVSMC-0372,hVSMC-0668,2
hVSMC-0372,hVSMC-0400,3
hVSMC-0372,hVSMC-0383,7
hVSMC-0328,hVSMC-1995,16
hVSMC-0328,hVSMC-1303,12
hVSMC-0328,hVSMC-1100,16
hVSMC-0328,hVSMC-0970,15
hVSMC-0328,hVSMC-0946,14
hVSMC-0328,hVSMC-0773,14
hVSMC-0328,hVSMC-0725,14
hVSMC-0328,hVSMC-0668,6
hVSMC-0328,hVSMC-0400,8
hVSMC-0328,hVSMC-0383,3
hVSMC-0328,hVSMC-0372,6
hVSMC-0327,hVSMC-1995,16
hVSMC-0327,hVSMC-1303,11
hVSMC-0327,hVSMC-1100,17
hVSMC-0327,hVSMC-0970,14
hVSMC-0327,hVSMC-0946,13
hVSMC-0327,hVSMC-0773,13
hVSMC-0327,hVSMC-0725,13
hVSMC-0327,hVSMC-0668,8
hVSMC-0327,hVSMC-0400,6
hVSMC-0327,hVSMC-0383,3
hVSMC-0327,hVSMC-0372,7
hVSMC-0327,hVSMC-0328,2
hVSMC-0312,hVSMC-1995,16
hVSMC-0312,hVSMC-1303,12
hVSMC-0312,hVSMC-1100,16
hVSMC-0312,hVSMC-0970,14
hVSMC-0312,hVSMC-0946,13
hVSMC-0312,hVSMC-0773,13
hVSMC-0312,hVSMC-0725,14
hVSMC-0312,hVSMC-0668,7
hVSMC-0312,hVSMC-0400,8
hVSMC-0312,hVSMC-0383,3
hVSMC-0312,hVSMC-0372,7
hVSMC-0312,hVSMC-0328,2
hVSMC-0312,hVSMC-0327,2
hVSMC-0296,hVSMC-1995,14
hVSMC-0296,hVSMC-1303,12
hVSMC-0296,hVSMC-1100,14
hVSMC-0296,hVSMC-0970,15
hVSMC-0296,hVSMC-0946,14
hVSMC-0296,hVSMC-0773,13
hVSMC-0296,hVSMC-0725,12
hVSMC-0296,hVSMC-0668,4
hVSMC-0296,hVSMC-0400,2
hVSMC-0296,hVSMC-0383,7
hVSMC-0296,hVSMC-0372,3
hVSMC-0296,hVSMC-0328,7
hVSMC-0296,hVSMC-0327,7
hVSMC-0296,hVSMC-0312,7
hVSMC-0272,hVSMC-1995,16
hVSMC-0272,hVSMC-1303,12
hVSMC-0272,hVSMC-1100,16
hVSMC-0272,hVSMC-0970,15
hVSMC-0272,hVSMC-0946,14
hVSMC-0272,hVSMC-0773,14
hVSMC-0272,hVSMC-0725,14
hVSMC-0272,hVSMC-0668,7
hVSMC-0272,hVSMC-0400,8
hVSMC-0272,hVSMC-0383,3
hVSMC-0272,hVSMC-0372,6
hVSMC-0272,hVSMC-0328,2
hVSMC-0272,hVSMC-0327,2
hVSMC-0272,hVSMC-0312,2
hVSMC-0272,hVSMC-0296,7
hVSMC-0249,hVSMC-1995,16
hVSMC-0249,hVSMC-1303,12
hVSMC-0249,hVSMC-1100,15
hVSMC-0249,hVSMC-0970,16
hVSMC-0249,hVSMC-0946,15
hVSMC-0249,hVSMC-0773,13
hVSMC-0249,hVSMC-0725,14
hVSMC-0249,hVSMC-0668,7
hVSMC-0249,hVSMC-0400,7
hVSMC-0249,hVSMC-0383,4
hVSMC-0249,hVSMC-0372,8
hVSMC-0249,hVSMC-0328,3
hVSMC-0249,hVSMC-0327,3
hVSMC-0249,hVSMC-0312,3
hVSMC-0249,hVSMC-0296,6
hVSMC-0249,hVSMC-0272,3
hVSMC-0242,hVSMC-1995,15
hVSMC-0242,hVSMC-1303,11
hVSMC-0242,hVSMC-1100,17
hVSMC-0242,hVSMC-0970,14
hVSMC-0242,hVSMC-0946,13
hVSMC-0242,hVSMC-0773,13
hVSMC-0242,hVSMC-0725,13
hVSMC-0242,hVSMC-0668,8
hVSMC-0242,hVSMC-0400,8
hVSMC-0242,hVSMC-0383,3
hVSMC-0242,hVSMC-0372,7
hVSMC-0242,hVSMC-0328,2
hVSMC-0242,hVSMC-0327,2
hVSMC-0242,hVSMC-0312,2
hVSMC-0242,hVSMC-0296,7
hVSMC-0242,hVSMC-0272,2
hVSMC-0242,hVSMC-0249,3
hVSMC-0238,hVSMC-1995,16
hVSMC-0238,hVSMC-1303,12
hVSMC-0238,hVSMC-1100,16
hVSMC-0238,hVSMC-0970,15
hVSMC-0238,hVSMC-0946,14
hVSMC-0238,hVSMC-0773,14
hVSMC-0238,hVSMC-0725,14
hVSMC-0238,hVSMC-0668,7
hVSMC-0238,hVSMC-0400,8
