source,target,treeDistance
hVSMC-1303,hVSMC-1995,27
hVSMC-1100,hVSMC-1995,8
hVSMC-1100,hVSMC-1303,29
hVSMC-0970,hVSMC-1995,37
hVSMC-0970,hVSMC-1303,36
hVSMC-0970,hVSMC-1100,37
hVSMC-0946,hVSMC-1995,31
hVSMC-0946,hVSMC-1303,36
hVSMC-0946,hVSMC-1100,33
hVSMC-0946,hVSMC-0970,38
hVSMC-0773,hVSMC-1995,27
hVSMC-0773,hVSMC-1303,28
hVSMC-0773,hVSMC-1100,31
hVSMC-0773,hVSMC-0970,30
hVSMC-0773,hVSMC-0946,34
hVSMC-0725,hVSMC-1995,29
hVSMC-0725,hVSMC-1303,8
hVSMC-0725,hVSMC-1100,31
hVSMC-0725,hVSMC-0970,38
hVSMC-0725,hVSMC-0946,38
hVSMC-0725,hVSMC-0773,30
hVSMC-0668,hVSMC-1995,18
hVSMC-0668,hVSMC-1303,31
hVSMC-0668,hVSMC-1100,16
hVSMC-0668,hVSMC-0970,27
hVSMC-0668,hVSMC-0946,33
hVSMC-0668,hVSMC-0773,25
hVSMC-0668,hVSMC-0725,27
hVSMC-0400,hVSMC-1995,36
hVSMC-0400,hVSMC-1303,25
hVSMC-0400,hVSMC-1100,36
hVSMC-0400,hVSMC-0970,43
hVSMC-0400,hVSMC-0946,43
hVSMC-0400,hVSMC-0773,35
hVSMC-0400,hVSMC-0725,27
hVSMC-0400,hVSMC-0668,34
hVSMC-0383,hVSMC-1995,22
hVSMC-0383,hVSMC-1303,29
hVSMC-0383,hVSMC-1100,26
hVSMC-0383,hVSMC-0970,31
hVSMC-0383,hVSMC-0946,37
hVSMC-0383,hVSMC-0773,15
hVSMC-0383,hVSMC-0725,29
hVSMC-0383,hVSMC-0668,20
hVSMC-0383,hVSMC-0400,34
hVSMC-0372,hVSMC-1995,10
hVSMC-0372,hVSMC-1303,29
hVSMC-0372,hVSMC-1100,14
hVSMC-0372,hVSMC-0970,33
hVSMC-0372,hVSMC-0946,31
hVSMC-0372,hVSMC-0773,27
hVSMC-0372,hVSMC-0725,27
hVSMC-0372,hVSMC-0668,10
hVSMC-0372,hVSMC-0400,34
hVSMC-0372,hVSMC-0383,18
hVSMC-0328,hVSMC-1995,10
hVSMC-0328,hVSMC-1303,31
hVSMC-0328,hVSMC-1100,14
hVSMC-0328,hVSMC-0970,35
hVSMC-0328,hVSMC-0946,31
hVSMC-0328,hVSMC-0773,27
hVSMC-0328,hVSMC-0725,27
hVSMC-0328,hVSMC-0668,12
hVSMC-0328,hVSMC-0400,32
hVSMC-0328,hVSMC-0383,22
hVSMC-0328,hVSMC-0372,4
hVSMC-0327,hVSMC-1995,16
hVSMC-0327,hVSMC-1303,23
hVSMC-0327,hVSMC-1100,20
hVSMC-0327,hVSMC-0970,31
hVSMC-0327,hVSMC-0946,31
hVSMC-0327,hVSMC-0773,23
hVSMC-0327,hVSMC-0725,21
hVSMC-0327,hVSMC-0668,16
hVSMC-0327,hVSMC-0400,38
hVSMC-0327,hVSMC-0383,20
hVSMC-0327,hVSMC-0372,14
hVSMC-0327,hVSMC-0328,14
hVSMC-0312,hVSMC-1995,14
hVSMC-0312,hVSMC-1303,29
hVSMC-0312,hVSMC-1100,16
hVSMC-0312,hVSMC-0970,33
hVSMC-0312,hVSMC-0946,31
hVSMC-0312,hVSMC-0773,23
hVSMC-0312,hVSMC-0725,29
hVSMC-0312,hVSMC-0668,10
hVSMC-0312,hVSMC-0400,36
hVSMC-0312,hVSMC-0383,18
hVSMC-0312,hVSMC-0372,10
hVSMC-0312,hVSMC-0328,12
hVSMC-0312,hVSMC-0327,12
hVSMC-0296,hVSMC-1995,32
hVSMC-0296,hVSMC-1303,15
hVSMC-0296,hVSMC-1100,32
hVSMC-0296,hVSMC-0970,39
hVSMC-0296,hVSMC-0946,41
hVSMC-0296,hVSMC-0773,29
hVSMC-0296,hVSMC-0725,15
hVSMC-0296,hVSMC-0668,26
hVSMC-0296,hVSMC-0400,20
hVSMC-0296,hVSMC-0383,26
hVSMC-0296,hVSMC-0372,26
hVSMC-0296,hVSMC-0328,28
hVSMC-0296,hVSMC-0327,26
hVSMC-0296,hVSMC-0312,24
hVSMC-0272,hVSMC-1995,36
hVSMC-0272,hVSMC-1303,19
hVSMC-0272,hVSMC-1100,38
hVSMC-0272,hVSMC-0970,43
hVSMC-0272,hVSMC-0946,43
hVSMC-0272,hVSMC-0773,31
hVSMC-0272,hVSMC-0725,21
hVSMC-0272,hVSMC-0668,38
hVSMC-0272,hVSMC-0400,20
hVSMC-0272,hVSMC-0383,38
hVSMC-0272,hVSMC-0372,36
hVSMC-0272,hVSMC-0328,36
hVSMC-0272,hVSMC-0327,36
hVSMC-0272,hVSMC-0312,40
hVSMC-0272,hVSMC-0296,28
hVSMC-0249,hVSMC-1995,14
hVSMC-0249,hVSMC-1303,25
hVSMC-0249,hVSMC-1100,14
hVSMC-0249,hVSMC-0970,31
hVSMC-0249,hVSMC-0946,31
hVSMC-0249,hVSMC-0773,19
hVSMC-0249,hVSMC-0725,27
hVSMC-0249,hVSMC-0668,10
hVSMC-0249,hVSMC-0400,38
hVSMC-0249,hVSMC-0383,20
hVSMC-0249,hVSMC-0372,14
hVSMC-0249,hVSMC-0328,14
hVSMC-0249,hVSMC-0327,10
hVSMC-0249,hVSMC-0312,6
hVSMC-0249,hVSMC-0296,26
hVSMC-0249,hVSMC-0272,36
hVSMC-0242,hVSMC-1995,16
hVSMC-0242,hVSMC-1303,23
hVSMC-0242,hVSMC-1100,20
hVSMC-0242,hVSMC-0970,31
hVSMC-0242,hVSMC-0946,31
hVSMC-0242,hVSMC-0773,23
hVSMC-0242,hVSMC-0725,21
hVSMC-0242,hVSMC-0668,16
hVSMC-0242,hVSMC-0400,38
hVSMC-0242,hVSMC-0383,20
hVSMC-0242,hVSMC-0372,14
hVSMC-0242,hVSMC-0328,14
hVSMC-0242,hVSMC-0327,0
hVSMC-0242,hVSMC-0312,12
hVSMC-0242,hVSMC-0296,26
hVSMC-0242,hVSMC-0272,36
hVSMC-0242,hVSMC-0249,10
hVSMC-0238,hVSMC-1995,16
hVSMC-0238,hVSMC-1303,29
hVSMC-0238,hVSMC-1100,16
hVSMC-0238,hVSMC-0970,33
hVSMC-0238,hVSMC-0946,31
hVSMC-0238,hVSMC-0773,23
hVSMC-0238,hVSMC-0725,27
hVSMC-0238,hVSMC-0668,8
hVSMC-0238,hVSMC-0400,36
hVSMC-0238,hVSMC-0383,20
hVSMC-0238,hVSMC-0372,12
hVSMC-0238,hVSMC-0328,12
hVSMC-0238,hVSMC-0327,8
hVSMC-0238,hVSMC-0312,4
hVSMC-0238,hVSMC-0296,24
hVSMC-0238,hVSMC-0272,40
hVSMC-0238,hVSMC-0249,6
hVSMC-0238,hVSMC-0242,8
hVSMC-0204,hVSMC-1995,14
hVSMC-0204,hVSMC-1303,29
hVSMC-0204,hVSMC-1100,20
hVSMC-0204,hVSMC-0970,33
hVSMC-0204,hVSMC-0946,29
hVSMC-0204,hVSMC-0773,25
hVSMC-0204,hVSMC-0725,25
hVSMC-0204,hVSMC-0668,12
hVSMC-0204,hVSMC-0400,34
hVSMC-0204,hVSMC-0383,18
hVSMC-0204,hVSMC-0372,8
hVSMC-0204,hVSMC-0328,10
